ID,Age,Experience,Income,Gender,ZIP Code,Family,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,marital,default,job,housing,contact,balance
1,25,1,49,Male,91107,4,1,0,0,1,0,0,0,single,no,management,no,cellular,35
2,45,19,34,Male,90089,3,1,0,0,1,0,0,0,married,no,blue-collar,no,cellular,466
3,39,15,11,Male,94720,1,1,0,0,0,0,0,0,married,no,blue-collar,no,cellular,105
4,35,9,100,Male,94112,1,2,0,0,0,0,0,0,single,no,technician,no,telephone,19
5,35,8,45,Male,91330,4,2,0,0,0,0,0,1,single,no,technician,yes,cellular,126
6,37,13,29,Male,92121,4,2,155,0,0,0,1,0,single,no,blue-collar,yes,cellular,-127
7,53,27,72,Male,91711,2,2,0,0,0,0,1,0,married,no,blue-collar,yes,telephone,1329
8,50,24,22,Male,93943,1,3,0,0,0,0,0,1,single,no,blue-collar,no,cellular,343
9,35,10,81,Male,90089,3,2,104,0,0,0,1,0,single,no,blue-collar,no,telephone,192
10,34,9,180,Male,93023,1,3,0,1,0,0,0,0,married,no,blue-collar,no,cellular,43
11,65,39,105,Male,94710,4,3,0,0,0,0,0,0,single,no,technician,no,cellular,-272
12,34,9,180,Male,93023,1,3,0,1,0,0,0,0,divorced,no,blue-collar,no,cellular,4805
13,65,39,105,Male,94710,4,3,0,0,0,0,0,0,married,no,technician,no,cellular,1146
14,48,23,114,Male,93106,2,3,0,0,1,0,0,0,married,no,blue-collar,yes,cellular,380
15,59,32,40,Male,94920,4,2,0,0,0,0,1,0,married,no,services,no,cellular,1355
16,67,41,112,Male,91741,1,1,0,0,1,0,0,0,married,no,admin.,no,cellular,215
17,60,30,22,Male,95054,1,3,0,0,0,0,1,1,married,no,technician,no,cellular,187
18,29,5,45,Male,90277,3,2,0,0,0,0,1,0,divorced,no,unemployed,no,telephone,0
19,48,23,114,Male,93106,2,3,0,0,1,0,0,0,single,no,technician,no,cellular,555
20,59,32,40,Male,94920,4,2,0,0,0,0,1,0,married,no,services,yes,cellular,295
21,67,41,112,Female,91741,1,1,0,0,1,0,0,0,single,no,services,no,cellular,-116
22,60,30,22,Female,95054,1,3,0,0,0,0,1,1,married,no,management,no,cellular,4385
23,38,14,130,Female,95010,4,3,134,1,0,0,0,0,married,no,services,no,cellular,137
24,42,18,81,Female,94305,4,1,0,0,0,0,0,0,single,no,admin.,no,cellular,296
25,46,21,193,Female,91604,2,3,0,1,0,0,0,0,divorced,no,admin.,no,cellular,534
